donor,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity
s1d1,0.0385,0.8468830334190232,0.9490525748403684,0.15503831,0.7840178847300886,0.5870789885520935,0.703615817900968,0.9280066362476576,0.9498821253737916
s1d2,0.0422,0.8422848664688427,0.9564761504052438,0.16928208,0.7009741567704427,0.5858136564493179,0.6486484894854567,0.9107265192209256,0.9517781046254892
s1d3,0.0326,0.8434213601308717,0.968862983379844,0.14947687,0.7184362077200385,0.570089615881443,0.5135139266962083,0.9373658031994012,0.9729074430978932
s2d1,0.0815,0.8601895734597157,0.9006685849695328,0.168181,0.7241426110714044,0.5828165635466576,0.7354707708738375,0.8886340058283718,0.9054771251515042
s2d4,0.0582,0.8726885943380789,0.9311547840363118,0.12504855,0.751658734822551,0.6148320659995079,0.7076450399198457,0.9008859326550692,0.9275103135307188
s2d5,0.1006,0.9027579162410624,0.8749091751524276,0.13888137,0.7734741693278331,0.6209140717983246,0.8140198221311459,0.8684972800224402,0.923431180264795
s3d10,0.0426,0.8690458634419702,0.9313255446864058,0.13422273,0.795789501854017,0.6253218501806259,0.7201735702717005,0.9353313420952154,0.9673903708922602
s3d3,0.0356,0.8515606936416185,0.9716709235112244,0.17202125,0.7797350717025319,0.5904623717069626,0.6420802523075337,0.9582233263362352,0.9725803687566188
s3d6,0.0859,0.8141751042287075,0.9704189001389716,0.26012623,0.6400873079554232,0.5384888723492622,0.5725096248279785,0.9206496454025106,0.94441655872245
s4d8,0.0535,0.8785945727014985,0.9443695735752776,0.13080418,0.7174163612225752,0.5881600826978683,0.5726164840645724,0.9327141958055526,0.982795447286996
s4d9,0.0424,0.8258959537572255,0.9639736523726308,0.14199854,0.7659392398493242,0.5853520035743713,0.7078639074556946,0.9425306393844732,0.964064830639512
s3d7,0.1231,0.7961603613777527,0.9476486246672584,0.21876787,0.6112870251633906,0.5358269847929478,0.7063962959835021,0.8711356349299847,0.8868915202673252
s4d1,0.037,0.8422036644646641,0.9559298267480992,0.15447275,0.8079542892734944,0.6158279627561569,0.7520899412036274,0.9507005228718444,0.9759398458129894
